0 0.707107 0.803219
15 0.534522 0.803219
30 0.327327 0.915811
45 0.387298 0.983739
60 0.46291 1
75 0.547723 0.950382
90 0.755929 0.842424
105 0.894427 0.851943
120 1 0.581988
135 0.956183 0.475191
150 0.861892 0.439941
165 0.717137 0.508001
180 0.676123 0.803219
195 0.507093 0.803219
210 0.316228 0.915811
225 0.400892 0.983739
240 0.478091 1
255 0.755929 0.950382
270 0.755929 0.803219
285 0.861892 0.823055
300 0.92582 0.538816
315 0.910259 0.421212
330 0.828079 0.40161
345 0.676123 0.475191
360 0.707107 0.803219
